Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
George Adams,,2.3,2.2,2.2,NA,NA,NA
Arnie Ferrin,85.8,2.6,2.6,2.4,NA,NA,NA
Justise Winslow,80.4,2.8,2.6,2.5,-0.1,NA,NA
Lamar Green,78.5,2.4,2,1.9,0.5,0.4,0.2
Walter Berry,77.9,3.4,2.4,2.3,NA,NA,NA
Ronald Thomas,76.5,2.7,2,1.8,0.8,NA,NA
Chuck Terry,75.3,2.3,2.1,1.2,0.7,0.1,NA
Dorie Murrey,74.9,2.2,1.9,1.6,0.5,0.2,0.1
Johnny Baum,73.9,2,1.9,1.5,0.4,-0.1,NA
Kelly Oubre,73.2,3.7,2.2,2,0.4,NA,NA
Bob Bedell,73.0,2.4,2.2,0.8,0.1,NA,NA
