,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,23,WAS,NBA,SG,1,1,,,,100%,,0.0,-1.7,0,0,0,0,0,0,0,0,0
2017-18,24,PHO,NBA,SG,23,403,,29%,71%,,,+2.6,+13.5,8,2,7,1,16,2,61,6,12
2018-19,25,HOU,NBA,SF,39,979,,3%,52%,45%,,+10.5,+7.3,13,14,52,6,33,2,101,5,6
2019-20,26,HOU,NBA,SF,58,1739,,1%,60%,38%,1%,+2.9,-1.8,24,9,60,6,39,19,190,7,19
Career,,,NBA,,121,3122,,5%,59%,35%,,+5.3,+3.0,45,25,119,13,88,23,352,18,37
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,97,2718,,2%,57%,41%,,+5.7,+1.4,37,23,112,12,72,21,291,12,25
1 season,,PHO,NBA,,23,403,,29%,71%,,,+2.6,+13.5,8,2,7,1,16,2,61,6,12
1 season,,WAS,NBA,,1,1,,,,100%,,0.0,-1.7,0,0,0,0,0,0,0,0,0
