Season,Team,Lg,Salary
2016-17,Washington Wizards,NBA,"$543,471"
2017-18,Phoenix Suns,NBA,< $Minimum
2018-19,Houston Rockets,NBA,"$341,830"
Career,(may be incomplete),,"$885,301"
