Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Danuel House,,2.3,0.6,0,NA,NA
Travis Mays,83.3,2.1,0.3,0,NA,NA
Alexey Shved,81.3,2.2,0.8,0.2,NA,NA
Jerry Eaves,81.0,2,0.7,0,-0.1,NA
Jerry Harkness,80.6,2.9,0.5,0,NA,NA
Trajan Langdon,80.2,2,0.6,0.3,NA,NA
Mark Davis,77.4,2.3,0.2,-0.1,-0.1,-0.1
Kedrick Brown,75.1,2,0.5,0.4,0.1,NA
Kevin Williams,73.9,1.9,0.6,0.1,0.1,-0.1
Win Wilfong,73.4,2.1,0.6,0.2,-0.3,NA
Bubbles Hawkins,71.7,1.9,0.6,0.3,0.1,NA
