Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Harthorne Wingo,,3.9,1.4,0.9,0,NA,NA,NA
Willie Reed,87.9,3.6,1.5,1.2,NA,NA,NA,NA
Tommy Byrnes,87.8,4,1.7,0.9,0.3,-0.2,NA,NA
Sam Dekker,79.0,3.1,1.2,1,0,NA,NA,NA
Donatas Motiejūnas,78.8,4.7,1.4,0.7,0.3,0.2,-0.1,NA
Don Boven,78.0,3.8,2.2,1.5,NA,NA,NA,NA
Willie Long,76.9,3.5,2.1,1.2,NA,NA,NA,NA
Paul Graham,76.7,3.6,1.9,0.2,NA,NA,NA,NA
Andy Johnson,76.4,4.6,1.8,1.3,0.3,NA,NA,NA
Mike Sweetney,76.1,3.8,2.1,1.4,0.4,NA,NA,NA
Reggie Williams,75.4,3.7,1.7,0.3,0.3,0.2,0.2,0
