Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1972-73,25,NYK,NBA,PF,13,NA,4.5,0.7,1.7,0.409,0.2,0.5,0.333,NA,NA,1.2,0.1,NA,NA,0.7,1.5
1973-74,26,NYK,NBA,PF,60,NA,8.9,1.4,2.9,0.477,0.8,1.3,0.632,1.2,1.6,2.8,0.4,0.1,0.2,1.4,3.5
1974-75,27,NYK,NBA,PF,82,NA,20.6,2.8,6.2,0.46,1.7,2.3,0.754,2,3.6,5.6,1,0.6,0.4,2.6,7.4
1975-76,28,NYK,NBA,PF,57,NA,9.4,1.3,2.9,0.442,0.7,1.1,0.667,0.8,1.1,1.9,0.3,0.3,0.1,1,3.2
Career,NA,,NBA,,212,NA,13.3,1.9,4.1,0.459,1.1,1.6,0.702,1.4,2.3,3.5,0.6,0.4,0.3,1.7,4.8
