Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Harthorne Wingo,,3.9,1.4,0.9,0
Greg Kelser,96.6,3.9,1.4,0.8,0
Tommy Byrnes,90.3,4,1.7,0.9,0.3
Willie Reed,87.9,3.6,1.5,1.2,NA
Rod Higgins,87.0,3.8,2,1,0.1
Dave Piontek,86.3,3.7,1.4,1.1,0.5
Frank Brickowski,86.1,4.1,1.1,1,0.4
Ben Warley,84.8,3.8,1.5,0.6,0.5
Jason Kapono,83.7,4.2,1.3,1.2,0.5
Donyell Marshall,83.7,4.2,1.3,1.3,0.3
John Trapp,81.7,3.3,1.2,1.2,0
