Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lee Shaffer,,5,3.8,-0.6,NA,NA
Dike Eddleman,75.1,3.8,3.7,-0.1,-0.1,NA
Andy Duncan,71.6,3.7,3.4,-0.3,NA,NA
Bill Closs,70.9,4.4,2.8,0,NA,NA
Ollie Darden,70.7,3.7,3.6,0.3,NA,NA
Landry Fields,68.3,5.3,3.4,1.1,0.4,0.3
Travis Grant,67.9,5.6,4.1,1.5,0.5,NA
Sam Smith,66.1,4.6,3.3,1.4,0.2,NA
Dario Šarić,64.4,6.6,3.5,1,NA,NA
Leonard Gray,63.2,4.1,4,1.8,NA,NA
Leon Powe,63.0,4.9,4.3,1.7,0.6,0.5
