Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23,KEN,ABA,SF,48,NA,458,5.3,15.9,0.337,0.3,1,0.308,5,14.9,0.339,4.2,5.7,0.75,2.3,3.5,5.8,3,NA,3.1,7.5,15.2
1969-70,24,KEN,ABA,SF,82,NA,1519,6.2,15.5,0.399,0.2,0.9,0.216,6,14.6,0.41,3.2,4.8,0.657,2.4,3.6,6,3.3,NA,3.2,5.9,15.7
1970-71,25,TOT,ABA,SF,69,NA,1241,6.2,16.3,0.381,0.4,1.7,0.263,5.8,14.6,0.394,3.3,4.6,0.715,1.6,3.5,5,3.7,NA,3.3,4.6,16.1
1970-71,25,DNR,ABA,SF,47,NA,1049,6.3,16.6,0.38,0.4,1.6,0.229,5.9,15,0.397,3.1,4.4,0.69,1.5,3.4,4.9,3.7,NA,3.4,4.4,16.1
1970-71,25,INA,ABA,SF,22,NA,192,5.6,14.6,0.385,0.7,1.7,0.444,4.9,12.9,0.377,4.5,5.4,0.828,2.3,3.6,5.8,3.9,NA,2.8,5.8,16.5
1971-72,26,INA,ABA,SF,7,NA,76,3.3,8.5,0.389,0.5,0.9,0.5,2.8,7.6,0.375,1.4,2.8,0.5,0.9,1.4,2.4,5.2,NA,2.8,4.7,8.5
Career,NA,,ABA,,206,NA,3294,6,15.7,0.383,0.3,1.2,0.257,5.7,14.5,0.393,3.3,4.8,0.691,2,3.5,5.5,3.5,NA,3.2,5.6,15.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,KEN,ABA,,130,NA,1977,6,15.6,0.384,0.2,0.9,0.24,5.8,14.7,0.393,3.4,5,0.681,2.4,3.6,5.9,3.2,NA,3.2,6.3,15.6
1 season,NA,DNR,ABA,,47,NA,1049,6.3,16.6,0.38,0.4,1.6,0.229,5.9,15,0.397,3.1,4.4,0.69,1.5,3.4,4.9,3.7,NA,3.4,4.4,16.1
2 seasons,NA,INA,ABA,,29,NA,268,5,12.9,0.385,0.7,1.5,0.455,4.3,11.4,0.376,3.6,4.7,0.771,1.9,3,4.8,4.3,NA,2.8,5.5,14.2
