,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23,KEN,ABA,,7,,1,,,,7,9,,,,,,,,19
1969-70,24,KEN,ABA,,9,,1,,,,7,9,,,,,,,,23
1970-71,25,TOT,ABA,,12,,2,,,,7,8,,,,,,,,29
1970-71,25,DNR,ABA,,12,,2,,,,6,8,,,,,,,,29
1970-71,25,INA,ABA,,7,,1,,,,7,7,,,,,,,,17
1971-72,26,INA,ABA,,4,,1,,,,2,4,,,,,,,,10
Career,,,,,12,,2,,,,7,9,,,,,,,,29
2 Seasons,,KEN,ABA,,9,,1,,,,7,9,,,,,,,,23
1 Season,,DNR,ABA,,12,,2,,,,6,8,,,,,,,,29
2 Seasons,,INA,ABA,,7,,1,,,,7,7,,,,,,,,17
