Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,23,KEN,ABA,SF,48,458,7.2,0.415,0.064,0.356,NA,NA,7,11.9,NA,14.3,22,NA,-0.6,0.5,-0.1,-0.008
1969-70,24,KEN,ABA,SF,82,1519,9.5,0.446,0.057,0.312,NA,NA,7.3,12.9,NA,15.3,21,NA,-0.8,1.8,1,0.032
1970-71,25,TOT,ABA,SF,69,1241,8.9,0.44,0.101,0.281,NA,NA,6.1,13.4,NA,15.4,21.3,NA,-1,1.1,0.1,0.004
1970-71,25,DNR,ABA,SF,47,1049,8.4,0.433,0.099,0.267,NA,NA,5.8,13.3,NA,15.6,21.4,NA,-1,0.9,-0.2,-0.007
1970-71,25,INA,ABA,SF,22,192,11.3,0.485,0.115,0.372,NA,NA,7.3,14.1,NA,14.2,20.7,NA,0.1,0.2,0.3,0.065
1971-72,26,INA,ABA,SF,7,76,4.8,0.436,0.111,0.333,2.5,3.5,3,18.3,NA,22.5,13.5,NA,0,0.1,0,0.019
Career,NA,,ABA,,206,3294,8.8,0.439,0.076,0.306,2.5,3.5,6.7,13.1,NA,15.3,21.1,NA,-2.3,3.4,1.1,0.016
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,KEN,ABA,,130,1977,9,0.439,0.058,0.322,NA,NA,7.2,12.7,NA,15,21.2,NA,-1.3,2.3,0.9,0.023
1 season,NA,DNR,ABA,,47,1049,8.4,0.433,0.099,0.267,NA,NA,5.8,13.3,NA,15.6,21.4,NA,-1,0.9,-0.2,-0.007
2 seasons,NA,INA,ABA,,29,268,9.5,0.476,0.115,0.365,2.5,3.5,6.1,15.3,NA,15.9,18.7,NA,0,0.3,0.3,0.052
