,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,VIR,ABA,,9,,1,,,,6,8,,,,,,,,,21
1974-75,25,SAA,ABA,,5,,0,,,,4,5,,,,,,,,,14
1975-76,26,SAA,ABA,,4,,0,,,,7,10,,,,,,,,,15
Career,,,,,9,,1,,,,7,10,,,,,,,,,21
1 Season,,VIR,ABA,,9,,1,,,,6,8,,,,,,,,,21
2 Seasons,,SAA,ABA,,5,,0,,,,7,10,,,,,,,,,15
