Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
William Franklin,,0.3,0.1,-0.2
Henry Ellenson,47.7,0.4,0.1,-0.2
Eddie Mast,37.9,0.4,0.1,-0.2
Lazar Hayward,31.3,0.3,0.1,-0.1
Devin Ebanks,30.7,0.4,0.3,-0.1
Scooter McCray,24.6,0.3,0.1,0
Chris McCullough,21.4,0.3,0.2,0.1
Riney Lochmann,19.7,0.4,0.3,-0.2
Jordan Mickey,14.6,0.3,0.1,0.1
Anthony Frederick,12.3,0.5,0.2,0
Easy Parham,12.3,0.3,0.1,0
