Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Gene Guarilia,,0.7,0.5,0.3,-0.2
Bill Curley,79.2,0.7,0.5,0.2,0
Ansu Sesay,72.9,0.8,0.5,0.2,-0.1
Randy White,68.9,0.8,0.7,0.4,-0.2
Michael Smith,65.2,0.7,0.3,0.3,NA
Hank McDowell,64.8,0.7,0.4,0.2,0.1
Eddie Lee Wilkins,64.6,0.8,0.8,0.3,-0.1
Greg Foster,63.2,0.6,0.5,0.2,0
Jamal Sampson,62.2,0.5,0.4,0.2,0
Jerrod Mustaf,62.1,0.8,0.5,0.4,0
Ronald Dupree,61.5,1,0.5,0.3,0
