Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gene Guarilia,,0.7,0.5,0.3,-0.2,NA
Ansu Sesay,72.9,0.8,0.5,0.2,-0.1,NA
Bill Curley,70.7,0.7,0.5,0.2,0.2,0
Michael Smith,65.2,0.7,0.3,0.3,NA,NA
Jerrod Mustaf,62.1,0.8,0.5,0.4,0,NA
Obinna Ekezie,61.5,0.7,0.5,0.4,0.2,NA
Christian Wood,57.9,0.8,0.3,0.3,NA,NA
Cal Bowdler,57.7,1,0.5,0.2,NA,NA
Roderick McDonald,57.6,0.5,0.5,0.2,NA,NA
Troy Williams,57.4,0.5,0.4,0.4,NA,NA
Ron Grandison,56.7,0.6,0.5,0,0,NA
