Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Buddy O'Grady,,1.4,0.7,-0.5,NA
Bobby Washington,70.5,1.5,0.7,0,NA
Rod Foster,65.4,1.6,0.9,-0.3,NA
Tracy Jackson,59.5,1.7,0.7,0,NA
Vonteego Cummings,58.7,1.3,0.6,0.2,NA
Jerry Rullo,58.0,1.5,0.6,0,-0.1
Ollie Mack,55.7,1.6,1,-0.1,NA
Sean Kilpatrick,54.2,1.4,1,0.1,0.1
Byron Irvin,53.5,1.2,0.9,0,NA
Terence Stansbury,48.0,1.5,0.6,0.3,NA
Salim Stoudamire,47.5,1.2,0.8,0.3,NA
