Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Danny Vranes,,4.2,3.4,2.4,2.1,1.8,0.8,0.6
Francisco García,92.8,4.2,3,2.4,2.4,1.6,1,0.8
Scott Williams,90.3,3.9,3.1,2.6,2.3,1.7,0.9,0.3
George Johnson,89.5,3.8,3.2,2.5,2.2,1,0.7,0.6
Andrea Bargnani,89.4,4.2,3.9,2.5,2.2,1.9,1.4,0.1
John Brown,88.7,4.2,3.7,2.6,2.3,1.7,1.7,0.1
James Jones,88.1,4,3.7,2.5,2.2,1,0.9,0
James Bailey,87.8,4.9,2.9,2.3,2,1.9,1,0.6
Jeff Cook,87.7,4.5,3.7,2.4,2.3,2.2,2,0.6
David Benoit,87.4,4.6,3.9,2.3,2,1.6,1.6,0.7
Glen Davis,86.5,4.9,3.7,2.5,2,1.7,1.6,0.8
