Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Danny Vranes,,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
George Johnson,89.5,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA
John Brown,88.7,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA
David Benoit,87.4,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA
Jeff Cook,87.2,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
Nick Weatherspoon,86.4,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA,NA,NA
Aaron James,86.1,4.3,2.9,2.2,2.1,1.7,NA,NA,NA,NA,NA
Derrick Williams,86.1,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA
Luke Walton,85.9,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4
Mike O'Koren,85.8,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA,NA
Howard Porter,85.7,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA
