Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Steve Henson,,1.2,1.1,1,0.2,0.1,0,0
Chris Smith,83.7,1.2,1.1,0.9,NA,NA,NA,NA
Troy Daniels,83.4,1.4,1.3,1.1,0.3,0.2,0.2,NA
Jimmy O'Brien,80.7,1.4,1.4,1,0.2,NA,NA,NA
Steve Harris,78.5,1.3,1.2,0.8,0,-0.1,NA,NA
Mo Layton,75.8,1.9,1.1,1,0.3,0.1,NA,NA
Chris Carr,74.2,1.7,1.1,0.9,0.3,0.2,-0.3,NA
Brook Steppe,73.8,1.3,1.1,1,0.7,0.6,NA,NA
MarShon Brooks,72.6,1.3,0.8,0.7,0.4,0.1,NA,NA
Justin Anderson,70.8,1.9,1.2,1.1,0.4,NA,NA,NA
Dirk Minniefield,70.0,1.9,1.1,1.1,NA,NA,NA,NA
