,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1958-59,26,NYK,NBA,,7,,10,11,,,6,24
1963-64,31,TOT,NBA,,10,,14,17,,,6,32
1963-64,31,STL,NBA,,10,,14,17,,,6,32
1964-65,32,STL,NBA,,11,20,8,10,3,10,5,28
1965-66,33,STL,NBA,,10,23,10,12,11,12,5,25
1966-67,34,STL,NBA,,10,22,5,6,,,4,22
1968-69,36,ATL,NBA,,1,3,1,2,3,6,4,2
1969-70,37,ATL,NBA,,12,17,7,7,5,3,4,31
Career,,,,,12,,14,17,,,6,32
6 Seasons,,"ATL,STL",NBA,,12,,14,17,,,6,32
1 Season,,NYK,NBA,,7,,10,11,,,6,24
