Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,24,NYK,NBA,SG,72,NA,1793,5.2,14,0.368,3.6,5.9,0.62,6.7,3.7,3.7,14
1957-58,25,NYK,NBA,SG,63,NA,2368,5.2,14.8,0.354,5.4,7.8,0.691,7.4,4.8,3.1,15.8
1958-59,26,NYK,NBA,SG,71,NA,2558,6.2,14.7,0.424,5.7,7.1,0.802,7.3,5.1,3.6,18.2
1959-60,27,NYK,NBA,SG,74,NA,2429,8.6,20.4,0.42,6.8,8.8,0.773,7.5,6.9,3.6,23.9
1960-61,28,NYK,NBA,SG,79,NA,3023,7.3,18.4,0.396,5.9,7.5,0.792,7.5,6,3.7,20.5
1961-62,29,NYK,NBA,SG,78,NA,3348,9,20.4,0.442,6.7,8.2,0.82,5.4,5.8,3.2,24.8
1962-63,30,NYK,NBA,SG,79,NA,2712,7.9,18.3,0.432,6.8,8,0.848,4.4,4.6,3,22.6
1963-64,31,TOT,NBA,SG,80,NA,2366,5.3,12.9,0.415,5.3,6.5,0.818,3.9,5.7,4.2,16
1963-64,31,NYK,NBA,SG,2,NA,26,15.2,22.2,0.688,5.5,6.9,0.8,4.2,5.5,6.9,36
1963-64,31,STL,NBA,SG,78,NA,2340,5.2,12.8,0.41,5.3,6.4,0.819,3.9,5.7,4.2,15.7
1964-65,32,STL,NBA,SG,57,NA,1678,6.3,14.2,0.446,5,6.5,0.767,3.2,5.8,4.1,17.6
1965-66,33,STL,NBA,SG,80,NA,2363,6.3,15.2,0.415,5.5,6.8,0.812,4.8,5.9,3.9,18.1
1966-67,34,STL,NBA,SG,80,NA,2275,6.2,14.3,0.436,4.8,6.6,0.731,3,5.5,3.9,17.3
1968-69,36,ATL,NBA,SG,27,NA,472,3.6,8.5,0.423,4.3,5.6,0.77,4.5,7.6,5,11.5
1969-70,37,ATL,NBA,SG,8,NA,64,1.7,6.2,0.273,0.6,0.6,1,1.1,6.8,5.1,3.9
Career,NA,,NBA,,848,NA,27449,6.8,16.3,0.416,5.7,7.3,0.78,5.6,5.5,3.6,19.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,NYK,NBA,,518,NA,18257,7.3,17.6,0.412,6,7.7,0.779,6.5,5.4,3.4,20.5
6 seasons,NA,"STL,ATL",NBA,,330,NA,9192,5.8,13.8,0.425,5.1,6.5,0.783,3.8,5.8,4.1,16.8
