Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1958-59,26,NYK,NBA,SG,2,77,10.9,0.364,0.4,NA,NA,NA,23.7,NA,-0.1,0.1,0,0
1963-64,31,STL,NBA,SG,12,428,15.9,0.526,0.503,NA,NA,NA,17.4,NA,1.1,0.1,1.2,0.137
1964-65,32,STL,NBA,SG,4,125,15.1,0.454,0.385,NA,NA,NA,25.5,NA,0,0.2,0.2,0.083
1965-66,33,STL,NBA,SG,10,399,17.2,0.535,0.478,NA,NA,NA,27.5,NA,0.8,0.3,1.1,0.133
1966-67,34,STL,NBA,SG,9,228,13.8,0.484,0.349,NA,NA,NA,25.3,NA,0.3,0.2,0.5,0.101
1968-69,36,ATL,NBA,SG,3,32,6.3,0.307,0.5,NA,NA,NA,26.9,NA,0,0.1,0,0.039
1969-70,37,ATL,NBA,SG,2,56,20.1,0.685,0.333,NA,NA,NA,9.9,NA,0.3,0.1,0.4,0.3
Career,NA,,NBA,,42,1345,15.5,0.508,0.443,NA,NA,NA,22.8,NA,2.4,1,3.4,0.121
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"STL,ATL",NBA,,40,1268,15.8,0.517,0.446,NA,NA,NA,22.7,NA,2.5,0.9,3.4,0.129
1 season,NA,NYK,NBA,,2,77,10.9,0.364,0.4,NA,NA,NA,23.7,NA,-0.1,0.1,0,0
