,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1956-57,24,NYK,NBA,,14,,9,12,,,6,35
1957-58,25,NYK,NBA,,12,,17,23,,,,31
1958-59,26,NYK,NBA,,15,,15,16,,,,41
1959-60,27,NYK,NBA,,18,,21,26,,,,57
1960-61,28,NYK,NBA,,16,,22,,,,,42
1961-62,29,NYK,NBA,,23,,16,,,,,51
1962-63,30,NYK,NBA,,16,,19,,,,,41
1963-64,31,TOT,NBA,,11,,11,14,,,,29
1963-64,31,NYK,NBA,,9,,3,3,,,,21
1963-64,31,STL,NBA,,11,,11,14,,,,29
1964-65,32,STL,NBA,,13,24,10,15,8,,,33
1965-66,33,STL,NBA,,13,,18,21,,,,37
1966-67,34,STL,NBA,,18,,13,15,,,,41
1968-69,36,ATL,NBA,,6,,8,9,,,,17
1969-70,37,ATL,NBA,,2,,1,1,,,,5
Career,,,,,23,,22,,,,,57
8 Seasons,,NYK,NBA,,23,,22,,,,,57
6 Seasons,,"ATL,STL",NBA,,18,,18,21,,,,41
