Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ben McDonald,,1.3,0.7,0.3,0.2
Patrick McFarland,89.1,1.3,0.7,0.4,NA
Viktor Khryapa,79.6,1.3,0.4,0.3,0
Bob McCann,79.5,1.3,0.6,0.1,0.1
Dickey Simpkins,78.5,1.2,0.7,0.6,0.1
Reggie Slater,78.4,1.5,0.8,0.4,-0.1
Yi Jianlian,78.2,1.3,0.7,0.7,0.4
Ron Riley,76.8,1.6,0.7,0.2,0
Alec Kessler,76.7,1.2,0.8,0.1,-0.1
Jarell Martin,76.2,1.3,0.8,0.6,0.5
John Thomas,76.1,1.5,0.9,0.4,0.4
