Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ben McDonald,,1.3,0.7,0.3,0.2,NA,NA,NA,NA
Patrick McFarland,89.1,1.3,0.7,0.4,NA,NA,NA,NA,NA
Viktor Khryapa,79.6,1.3,0.4,0.3,0,NA,NA,NA,NA
Bob McCann,78.8,1.3,0.6,0.1,0.1,0,NA,NA,NA
Yi Jianlian,77.8,1.3,0.7,0.7,0.4,0,NA,NA,NA
Shavlik Randolph,77.8,1.1,0.7,0.4,0.1,0,0,0,0
Ron Riley,76.8,1.6,0.7,0.2,0,NA,NA,NA,NA
Alec Kessler,76.7,1.2,0.8,0.1,-0.1,NA,NA,NA,NA
Jarell Martin,76.2,1.3,0.8,0.6,0.5,NA,NA,NA,NA
Joe Holland,75.8,1.2,0.6,0.2,NA,NA,NA,NA,NA
Jerome Lane,75.6,1.2,0.6,0.5,0.1,-0.2,NA,NA,NA
