Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Skal Labissière,,1.4,1.3,0.3,NA,NA
Tom Workman,95.2,1.4,1.3,0.4,0.1,NA
Mickaël Gelabale,90.2,1.5,1.3,0.2,NA,NA
Fred Saunders,87.4,1.3,1.2,0.5,0.1,NA
Joel Freeland,86.1,1.6,1.4,0.2,NA,NA
Tommie Bowens,82.6,1.2,1.1,0.5,NA,NA
Kenny Battle,77.6,1.9,1.3,0.3,0.1,NA
Hank Whitney,76.9,1.8,1.1,0.5,NA,NA
Randolph Keys,76.7,1.2,1,0.3,0,-0.2
Brian Rowsom,76.5,1.5,1,0,NA,NA
Rudy Macklin,76.2,1.8,1.4,0.1,NA,NA
