Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ron Lee,,3.8,2.8,1.6,1.4,0.8,0.3
Gary Neal,89.5,3.5,2.5,1.9,1.4,1,0.6
Brandon Knight,89.0,4.5,2.8,1.7,1.3,1.1,0.3
Jordan Farmar,88.7,3.9,2.8,1.9,1.8,0.9,0.8
Tony Delk,87.6,4.6,2.5,1.6,1.3,0.8,0.4
Larry Wright,87.3,3.5,2.7,1.8,1.4,1.2,0
Wes Matthews,86.5,3,2.6,1.6,1.3,0.7,0.4
Quintin Dailey,85.5,3.7,2.6,2.1,1.3,1,-0.3
Charles Johnson,85.5,3.7,2.4,1.4,1.1,1,0.9
Dell Curry,85.1,3.2,2.7,2,1.8,0.9,0.5
Sonny Hertzberg,85.0,4,2.5,2.3,1.4,0.7,NA
