Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Ron Lee,,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA,NA,NA
Gary Neal,88.9,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA,NA,NA
Brandon Knight,88.7,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA,NA,NA
Larry Wright,87.3,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA,NA,NA,NA
Quincy Pondexter,86.1,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA,NA,NA,NA
Rick Adelman,85.3,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA,NA,NA
Sonny Hertzberg,85.0,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Matthew Dellavedova,84.8,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA,NA,NA
Pep Saul,84.1,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Jaren Jackson,84.0,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Kent Bazemore,83.7,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA
