Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,19,UTS,ABA,C,1,NA,20:00,2,3,0.667,0,0,NA,2,5,0.4,3,10,0,0,1,1,1,6
1977-78,22,HOU,NBA,C,1,0,14:00,1,1,1,NA,NA,NA,2,4,0.5,1,4,1,1,0,0,1,4
1978-79,23,HOU,NBA,C,1,1,17:00,2,2,1,NA,NA,NA,4,5,0.8,2,7,1,1,0,1,0,8
1979-80,24,HOU,NBA,C,1,1,31:00,7,12,0.583,0,0,NA,6,12,0.5,6,12,2,1,2,5,4,20
1980-81,25,HOU,NBA,C,1,0,22:00,3,8,0.375,0,0,NA,2,4,0.5,2,6,3,1,0,1,3,8
1981-82,26,HOU,NBA,C,1,0,20:00,5,11,0.455,0,0,NA,2,6,0.333,5,11,0,1,1,3,2,12
1982-83,27,PHI,NBA,C,1,1,24:00,3,8,0.375,0,0,NA,4,6,0.667,2,8,3,0,1,1,1,10
1983-84,28,PHI,NBA,C,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-85,29,PHI,NBA,C,1,1,33:00,2,10,0.2,0,0,NA,3,6,0.5,5,12,1,0,0,3,4,7
1985-86,30,PHI,NBA,C,1,1,34:00,5,12,0.417,0,0,NA,6,9,0.667,5,13,0,1,0,1,4,16
1986-87,31,WSB,NBA,C,1,1,35:00,11,19,0.579,0,0,NA,5,6,0.833,7,18,2,2,1,1,4,27
1987-88,32,WSB,NBA,C,1,1,22:00,2,6,0.333,0,0,NA,3,6,0.5,5,9,2,0,0,2,2,7
1988-89,33,ATL,NBA,C,1,1,19:00,3,9,0.333,0,0,NA,3,3,1,4,8,0,1,1,1,1,9
Career,NA,,TOT,,12,8,291,46,101,0.455,0,0,NA,42,72,0.583,47,118,15,9,7,20,27,134
,NA,,NBA,,11,8,271,44,98,0.449,0,0,NA,40,67,0.597,44,108,15,9,6,19,26,128
,NA,,ABA,,1,NA,20,2,3,0.667,0,0,NA,2,5,0.4,3,10,0,0,1,1,1,6
