Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Archie Goodwin,,0.7,0.2,0.2,0.1,NA
Connie Norman,81.2,0.8,0.2,0.2,NA,NA
Terry Duerod,73.7,0.7,0.2,0.2,-0.2,NA
Tom Ingelsby,73.1,0.7,0.1,0,NA,NA
Othyus Jeffers,72.8,0.7,0.1,0.1,NA,NA
Gus Bailey,68.4,0.5,0.2,0.2,0,0
Greg Graham,66.8,0.8,0.3,0.3,0.1,-0.1
Corey Gaines,65.9,0.6,0.3,0.2,0.1,-0.1
Jermaine Jackson,64.1,0.6,0.2,0.2,0.2,-0.2
Sam Jacobson,64.1,0.9,0.2,0,NA,NA
Sergey Karasev,57.7,0.7,0.3,-0.1,NA,NA
