Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Archie Goodwin,,0.7,0.2,0.2,0.1
Connie Norman,81.2,0.8,0.2,0.2,NA
Greg Graham,75.3,0.8,0.3,0.3,0.1
Terry Duerod,73.7,0.7,0.2,0.2,-0.2
Tom Ingelsby,73.1,0.7,0.1,0,NA
Othyus Jeffers,72.8,0.7,0.1,0.1,NA
Morlon Wiley,72.2,0.9,0.2,0.1,0.1
Sam Jacobson,64.1,0.9,0.2,0,NA
Tracy Moore,63.0,0.6,0.5,0.3,0.1
Jermaine Jackson,62.4,0.6,0.2,0.2,-0.2
Royal Ivey,59.7,0.7,0.5,0.3,0.2
