Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
M.L. Carr,,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Roy Hinson,87.1,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA
Lonnie Shelton,87.1,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1
Gus Johnson,87.0,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1
Curtis Perry,86.2,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Curtis Rowe,86.0,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA
Gene Banks,85.9,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
Carl Landry,85.5,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA
Boris Diaw,84.9,8.9,6.2,4.8,4.7,4.6,4.4,3,0.8,0.6,0.1
Bruce Bowen,84.6,6.2,6.1,5.4,5.1,4.2,2.2,1.9,1.2,0,0
Kenny Thomas,84.4,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.1,-0.3
