Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
M.L. Carr,,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA
Roy Hinson,87.1,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA,NA
Lonnie Shelton,87.1,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA
Gus Johnson,87.0,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA
Curtis Perry,86.2,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA,NA
Curtis Rowe,86.0,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA,NA
Gene Banks,85.9,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA,NA
Carl Landry,85.5,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA
Kenny Thomas,85.3,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3
DeMarre Carroll,84.3,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1,NA
Chris Mills,83.9,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA
