Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Quinn Buckner,,5.4,4.6,4.4,3.2,2,1.6,1.5,1.3,0.5,0.2
Hubert Davis,89.6,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.1
Matt Guokas,89.4,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3
Jodie Meeks,88.4,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1
Chris Duhon,88.3,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2,NA
Lucious Harris,88.2,5.1,4.7,4.1,3.1,2.8,2.1,1.1,0.8,0.6,0.4
Martell Webster,87.6,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0
Tyreke Evans,87.1,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Larry Steele,86.5,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA
Isaiah Rider,85.2,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Craig Hodges,84.6,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5
