Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bill Keller,,6.1,5.4,4.4,4.1,4,3.6,2.7
Nate McMillan,94.1,6.5,5.6,4.9,4.4,4.1,3.7,2.8
Darren Collison,92.6,5.9,5.6,5.2,4.3,3.8,3.8,2.9
Johnny Davis,92.6,5.7,5.2,5.1,4.4,4.3,3.5,2.5
Brandon Jennings,92.4,5.8,5.5,4.2,3.9,3.9,3.3,1.5
Odie Spears,89.8,5.6,5.2,4.7,3.8,3.3,3.1,2
Mario Chalmers,87.6,5.2,5.2,4.8,4.3,2.9,2.8,2.7
Paul Neumann,87.4,6.5,5.8,4.6,4.2,4,3.2,NA
Brian Winters,87.4,6.2,6,5.1,5,4.2,3.5,1.1
Adrian Smith,86.4,6.1,5.2,5.1,4.4,3.4,1.9,1.8
Kyle Lowry,85.8,7,5.6,4.9,4.3,3.6,3.4,0.5
