Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bill Keller,,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA,NA,NA
Jim Barnett,90.9,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0,NA
Odie Spears,89.8,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA,NA,NA
Brandon Jennings,89.4,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,NA,NA,NA
Paul Neumann,87.4,6.5,5.8,4.6,4.2,4,3.2,NA,NA,NA,NA,NA,NA
Bonzi Wells,86.6,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1,NA,NA
Luke Ridnour,86.2,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Mike Woodson,85.3,7.8,5.7,4.2,4.2,4,3.5,3.1,0.9,0.9,0.7,-0.2,NA
Ricky Rubio,84.8,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA,NA,NA
Foots Walker,84.8,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA
Ricky Davis,84.7,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
