Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jacky Dorsey,,0.2,0.2,-0.1,NA
Victor Claver,73.9,0.2,0.1,-0.1,NA
Jackie Robinson,68.2,0.2,0.1,0,NA
Alando Tucker,43.9,0.2,0.1,0,NA
Doug Edwards,39.7,0.2,0.1,0,NA
Easy Parham,35.1,0.3,0.1,0,NA
Scooter McCray,25.4,0.3,0.1,0,NA
Chris McCullough,24.7,0.3,0.2,0.1,NA
Josh Huestis,20.7,0.5,0.2,0,NA
Anthony Frederick,20.6,0.5,0.2,0,NA
Luke Jackson,18.6,0.1,0.1,0,0
