Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Phil Pressey,,0.8,0.1,-0.1
Greg Sutton,77.9,0.8,0.2,-0.1
Sergey Karasev,74.6,0.7,0.3,-0.1
Tom Ingelsby,73.5,0.7,0.1,0
Glenn Hansen,68.2,0.8,0.4,-0.1
Raymond Townsend,66.1,0.8,0.4,-0.2
Sam Jacobson,65.4,0.9,0.2,0
Andre McCarter,64.7,0.8,0.3,0
Othyus Jeffers,64.3,0.7,0.1,0.1
Connie Norman,61.7,0.8,0.2,0.2
Carl Thomas,61.0,0.7,0,0
