,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2010-11,19,MISSOURI,30,668,65,168,30,83,35,46,25,68,117,61,1,65,62,195,.387,.361,.761,22.3,6.5,2.3,3.9
2011-12,20,MISSOURI,35,1124,115,269,38,104,93,120,13,115,223,74,2,85,69,361,.428,.365,.775,32.1,10.3,3.3,6.4
2012-13,21,MISSOURI,34,1151,141,375,46,142,75,102,26,112,240,61,2,120,64,403,.376,.324,.735,33.9,11.9,3.3,7.1
Career,,,99,2943,321,812,114,329,203,268,64,295,580,196,5,270,195,959,.395,.347,.757,29.7,9.7,3.0,5.9
