,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,22,BOS,NBA,PG,75,1132,100%,,,,,-1.1,+5.6,60,19,39,4,14,0,537,0,10
2014-15,23,BOS,NBA,PG,50,600,100%,,,,,+1.7,+2.0,25,10,12,5,18,2,275,2,16
2015-16,24,TOT,NBA,PG,23,283,100%,,,,,-8.2,+0.8,25,5,8,1,10,1,182,3,9
2015-16,24,PHI,NBA,PG,14,170,100%,,,,,-4.2,+6.8,15,1,2,1,8,0,113,2,8
2015-16,24,PHO,NBA,PG,9,113,100%,,,,,-13.9,-6.8,10,4,6,0,2,1,69,1,1
Career,,,NBA,,148,2015,100%,,,,,-1.3,+3.8,110,34,59,10,42,3,994,5,35
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,125,1732,100%,,,,,-0.1,+4.3,85,29,51,9,32,2,812,2,26
1 season,,PHI,NBA,,14,170,100%,,,,,-4.2,+6.8,15,1,2,1,8,0,113,2,8
1 season,,PHO,NBA,,9,113,100%,,,,,-13.9,-6.8,10,4,6,0,2,1,69,1,1
