,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,22,MNL,NBA,,9,,6,7,,,6,19
1960-61,23,LAL,NBA,,7,,7,9,,,6,21
1961-62,24,LAL,NBA,,10,,10,15,,,6,24
1962-63,25,LAL,NBA,,9,18,13,15,14,,6,21
1963-64,26,LAL,NBA,,8,12,7,9,8,5,6,18
1964-65,27,LAL,NBA,,7,19,10,13,14,5,6,24
1965-66,28,LAL,NBA,,9,14,10,10,13,7,5,24
1967-68,30,SFW,NBA,,13,,10,12,,,,30
1968-69,31,SFW,NBA,,11,24,13,16,17,4,5,32
Career,,,,,13,,13,16,,,,32
7 Seasons,,"LAL,MNL",NBA,,10,,13,15,,,6,24
2 Seasons,,SFW,NBA,,13,,13,16,,,,32
