,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,22,MNL,NBA,,12,,11,14,,,,27
1960-61,23,LAL,NBA,,12,,13,17,,,6,35
1961-62,24,LAL,NBA,,19,,14,,,,,50
1962-63,25,LAL,NBA,,9,,14,,,,,28
1963-64,26,LAL,NBA,,10,,11,12,,,,27
1964-65,27,LAL,NBA,,11,,11,14,,,,31
1965-66,28,LAL,NBA,,13,,13,16,,,,31
1966-67,29,LAL,NBA,,13,,13,19,,,,36
1967-68,30,SFW,NBA,,17,28,14,19,17,8,6,40
1968-69,31,SFW,NBA,,16,31,14,18,18,7,6,39
Career,,,,,19,,14,,,,,50
8 Seasons,,"LAL,MNL",NBA,,19,,14,,,,,50
2 Seasons,,SFW,NBA,,17,31,14,19,18,8,6,40
