Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Rudy LaRusso,,8.8,8.6,7.3,7,6.9,6.3,5.5,5.4,3.9,1.7
Clifford Robinson,94.8,8.7,8,7.5,7.1,6.8,6.6,5.3,4.6,4.2,0.3
Mark Aguirre,93.4,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,1.9
Hot Rod Williams,92.3,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.8,2.4
Dan Roundfield,92.2,9.1,8.7,7.4,7.1,7,6.9,6.5,3.9,2.7,1.3
Happy Hairston,92.1,9.3,9.2,8.8,7.2,7,6.5,5.3,5.1,4.2,0.4
Maurice Lucas,92.1,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,3.5,2.4
Tom Heinsohn,91.8,9.3,7.7,7.1,6.8,6.6,6.5,6.2,6,3.6,NA
Jerome Kersey,91.1,8.8,8.6,6.8,6.8,6.7,6.4,3.6,3.4,3.2,2.2
David West,90.6,9.1,8.4,7.8,7.8,7.5,7.4,5.9,5.2,2.8,0.2
Antawn Jamison,90.3,9.2,9,8.5,8.2,6.8,6.7,6.4,5.4,2.3,1.4
