Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,22,MNL,NBA,PF,71,NA,29.5,5,12.9,0.389,3.7,5,0.742,9.6,1.2,3.1,13.7
1960-61,23,LAL,NBA,PF,79,NA,32.8,5.3,12.6,0.419,4.1,5.2,0.79,9.9,1.7,3.5,14.6
1961-62,24,LAL,NBA,PF,80,NA,34.4,6.5,13.9,0.466,4.3,5.6,0.763,10.4,2.2,3.2,17.2
1962-63,25,LAL,NBA,PF,75,NA,33.4,4.3,10.1,0.422,3.8,5.2,0.718,10,2.5,3.4,12.3
1963-64,26,LAL,NBA,PF,79,NA,34.8,4.3,9.8,0.434,3.8,5,0.751,10.1,2.4,3.4,12.3
1964-65,27,LAL,NBA,PF,77,NA,33.6,4.9,10.7,0.461,4.2,5.4,0.773,9.4,2.6,3.4,14.1
1965-66,28,LAL,NBA,PF,76,NA,30.5,5.4,11.8,0.457,4.6,5.9,0.787,8.7,2.2,3.4,15.4
1966-67,29,LAL,NBA,PF,45,NA,28.7,4.7,11.3,0.415,3.5,5,0.696,7.8,1.7,3.3,12.8
1967-68,30,SFW,NBA,PF,79,NA,35.7,7.6,17.6,0.433,6.6,8.4,0.79,9.4,2.3,4.3,21.8
1968-69,31,SFW,NBA,SF,75,NA,37.1,7.4,18,0.41,5.9,7.5,0.794,8.3,2.1,3.6,20.7
Career,NA,,NBA,,736,NA,33.3,5.6,12.9,0.431,4.5,5.9,0.767,9.4,2.1,3.5,15.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,"MNL,LAL",NBA,,582,NA,32.5,5.1,11.7,0.434,4,5.3,0.757,9.6,2.1,3.3,14.1
2 seasons,NA,SFW,NBA,,154,NA,36.4,7.5,17.8,0.422,6.3,7.9,0.792,8.9,2.2,3.9,21.3
