,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,DNR,ABA,,1,,0,,,,2,2,,,,,,,,,4
1972-73,23,DNR,ABA,,3,,0,,,,1,1,,,,,,,,,7
1973-74,24,TOT,ABA,,7,,0,,,,4,6,,,,,,,,,15
1973-74,24,CAR,ABA,,7,,0,,,,4,6,,,,,,,,,15
1974-75,25,KEN,ABA,,7,,0,,,,7,7,,,,,,,,,19
Career,,,,,7,,0,,,,7,7,,,,,,,,,19
1 Season,,KEN,ABA,,7,,0,,,,7,7,,,,,,,,,19
2 Seasons,,DNR,ABA,,3,,0,,,,2,2,,,,,,,,,7
1 Season,,CAR,ABA,,7,,0,,,,4,6,,,,,,,,,15
