Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bob Arnzen,,1,0.3,0.3,-0.1,NA,NA
Cal Bowdler,79.2,1,0.5,0.2,NA,NA,NA
Winston Bennett,77.3,1.1,0.3,0.2,NA,NA,NA
Bob Peterson,76.0,0.9,0.4,0.2,NA,NA,NA
Kenny Dennard,74.8,1.1,0.3,0.1,NA,NA,NA
Christian Wood,74.4,0.8,0.3,0.3,NA,NA,NA
Ronald Dupree,70.9,1,0.5,0.3,0.1,0,0
David Thirdkill,70.3,1,0.3,0,0,-0.1,NA
Jim Tucker,69.8,1,0.3,0,NA,NA,NA
Viktor Khryapa,67.9,1.3,0.4,0.3,0,NA,NA
Tremaine Fowlkes,65.8,1.2,0.5,0.4,0,NA,NA
