,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,NYA,ABA,,5,,0,,,,1,4,,,,,,,,,10
1970-71,23,CIN,NBA,,8,,,,,,5,6,,,,,,,,,18
1972-73,25,INA,ABA,,9,,0,,,,6,6,,,,,,,,,24
1973-74,26,INA,ABA,,6,,1,,,,2,2,,,,,,,,,13
Career,,,TOT,,9,,,,,,6,6,,,,,,,,,24
,,,NBA,,8,,,,,,5,6,,,,,,,,,18
,,,ABA,,9,,1,,,,6,6,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,
1 Season,,CIN,NBA,,8,,,,,,5,6,,,,,,,,,18
2 Seasons,,INA,ABA,,9,,1,,,,6,6,,,,,,,,,24
1 Season,,NYA,ABA,,5,,0,,,,1,4,,,,,,,,,10
