Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Arnzen,,1,0.3,0.3,-0.1
Cal Bowdler,79.2,1,0.5,0.2,NA
Winston Bennett,77.3,1.1,0.3,0.2,NA
Ronald Dupree,76.7,1,0.5,0.3,0
Bob Peterson,76.0,0.9,0.4,0.2,NA
David Thirdkill,75.0,1,0.3,0,0
Kenny Dennard,74.8,1.1,0.3,0.1,NA
Christian Wood,74.4,0.8,0.3,0.3,NA
Randolph Keys,73.5,1,0.3,0,-0.2
Michael Ruffin,70.9,1,0.6,0.2,0
Jim Tucker,69.8,1,0.3,0,NA
