Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Terence Morris,,0.9,0.2,-0.1,NA,NA
Ivano Newbill,80.5,1.1,0.1,-0.1,NA,NA
Jim Tucker,77.6,1,0.3,0,NA,NA
Brian Quinnett,72.8,0.8,0.1,-0.1,NA,NA
Alton Ford,67.8,0.8,0.1,-0.1,NA,NA
David Thirdkill,67.8,1,0.3,0,0,-0.1
Kenny Dennard,66.8,1.1,0.3,0.1,NA,NA
Glenn McDonald,66.7,1.1,0.2,-0.2,NA,NA
Bob Peterson,66.6,0.9,0.4,0.2,NA,NA
Jackie Moore,64.6,0.9,0.5,NA,NA,NA
DeAndre' Bembry,62.8,0.9,0.3,-0.4,NA,NA
