,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,21,MIA,NBA,SF,1,1,,,,100%,,-200.0,-188.7,0,0,0,0,0,0,0,0,0
2008-09,23,MIA,NBA,SF,1,3,,,,100%,,-40.0,-41.6,0,0,0,0,0,0,0,0,0
2009-10,24,MIA,NBA,SF,5,112,,,97%,3%,,-1.5,+12.9,3,3,1,0,1,0,19,0,1
2013-14,28,POR,NBA,SF,8,88,,,13%,87%,,-21.5,-17.6,2,0,2,1,5,0,8,0,2
2015-16,30,MIA,NBA,SF,5,19,,,20%,67%,14%,+8.3,+3.8,0,0,2,0,1,0,6,0,1
Career,,,NBA,,20,223,,,55%,43%,1%,-9.9,-1.6,5,3,5,1,7,0,33,0,4
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,12,135,,,83%,15%,2%,-2.4,+8.9,3,3,3,0,2,0,25,0,2
1 season,,POR,NBA,,8,88,,,13%,87%,,-21.5,-17.6,2,0,2,1,5,0,8,0,2
