Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dorell Wright,,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,NA
Gerald Govan,89.1,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1,NA,NA,NA
Phil Jackson,88.7,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5
Adam Keefe,87.9,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA,NA
Phil Hubbard,87.8,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA,NA
Brandan Wright,87.7,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,NA,NA
Markieff Morris,86.3,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA,NA
Al-Farouq Aminu,86.2,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA,NA,NA
James Johnson,84.8,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA,NA
Chuck Hayes,84.4,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0,NA
Luke Jackson,84.1,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA,NA,NA
