,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1960-61,23,CIN,NBA,,9,,7,,,,,23
1961-62,24,CIN,NBA,,10,,10,,,,,28
1962-63,25,CIN,NBA,,11,,12,,,,,28
1963-64,26,TOT,NBA,,11,,11,13,,,,28
1963-64,26,CIN,NBA,,10,,7,10,,,,23
1963-64,26,NYK,NBA,,11,,11,13,,,,28
1964-65,27,NYK,NBA,,12,,12,13,,,,29
1965-66,28,LAL,NBA,,11,,9,11,,,,26
1966-67,29,CHI,NBA,,15,32,13,17,20,7,5,40
1967-68,30,CHI,NBA,,16,,14,14,,,,42
1968-69,31,CHI,NBA,,15,30,13,16,17,8,6,33
1969-70,32,SEA,NBA,,14,,10,12,,,,33
1970-71,33,MIL,NBA,,10,,7,9,,,,23
Career,,,,,16,,14,,,,,42
4 Seasons,,CIN,NBA,,11,,12,,,,,28
3 Seasons,,CHI,NBA,,16,,14,17,,,,42
2 Seasons,,NYK,NBA,,12,,12,13,,,,29
1 Season,,SEA,NBA,,14,,10,12,,,,33
1 Season,,MIL,NBA,,10,,7,9,,,,23
1 Season,,LAL,NBA,,11,,9,11,,,,26
