,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,24,CIN,NBA,,10,,6,7,,,,26
1962-63,25,CIN,NBA,,8,,7,,,,5,21
1965-66,28,LAL,NBA,,9,11,4,5,10,3,4,21
1966-67,29,CHI,NBA,,10,15,5,6,13,1,4,25
1967-68,30,CHI,NBA,,10,19,8,9,11,4,4,27
1970-71,33,MIL,NBA,,8,,4,5,,,,16
Career,,,,,10,,8,,,,,27
2 Seasons,,CIN,NBA,,10,,7,,,,,26
1 Season,,MIL,NBA,,8,,4,5,,,,16
1 Season,,LAL,NBA,,9,11,4,5,10,3,4,21
2 Seasons,,CHI,NBA,,10,19,8,9,13,4,4,27
