Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bob Boozer,,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4
Terry Dischinger,90.5,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA
Richard Jefferson,88.8,11.7,11,9.9,7.6,6.6,6,5.9,4.7,3.4,3.1,2.4
Nenê Hilário,88.5,10.8,9.6,9.3,6.1,5.3,5,4,3.2,2.7,0.3,-0.1
Kevin Willis,87.8,10.2,8.8,8.6,6,4.7,4.7,4.4,4.2,3.6,2.7,2.2
Luol Deng,86.8,11.3,9.9,6.5,6.3,5.9,5.8,5.4,4.5,4.4,3,3
Chris Mullin,86.2,12.2,10.8,10.6,10.2,5.2,5.1,4.9,4.7,4,2.9,1.7
Christian Laettner,84.8,11.6,7.5,6.6,6.2,6.2,5.1,5,4.3,4.1,2.6,0.7
Jack Marin,84.8,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3
Tom Chambers,84.2,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.4,4.3,3.3
Paul Silas,83.8,11.5,11,7.7,7.2,6.9,6.7,3.3,3.3,1.8,1.2,0.5
