Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Bob Boozer,,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,NA,NA,NA,NA,NA,NA
Terry Dischinger,90.5,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA
Gerald Wallace,86.5,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1,NA,NA,NA
Nenê Hilário,85.5,10.8,9.6,9.3,6.1,5.3,5,4.1,4,3.2,3.2,3,2.7,2.7,2.6,1.4,0.3,-0.1
Jack Marin,84.8,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,NA,NA,NA,NA,NA,NA
Derrick Coleman,83.2,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,0.8,-0.1,-0.2,NA,NA
John Drew,82.3,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7,NA,NA,NA,NA,NA,NA
Richard Jefferson,82.3,11.7,11,9.9,7.6,6.6,6,5.9,4.7,3.4,3.1,2.7,2.7,2.4,2.3,2.1,1,0.1
Serge Ibaka,82.2,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.7,NA,NA,NA,NA,NA,NA,NA
Christian Laettner,82.2,11.6,7.5,6.6,6.2,6.2,5.1,5,4.3,4.1,2.7,2.6,2.3,0.7,NA,NA,NA,NA
Rudy Tomjanovich,82.0,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1,NA,NA,NA,NA,NA,NA
