Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1961-62,24,CIN,NBA,PF,4,143,17.1,0.586,0.211,NA,NA,NA,2.9,NA,0.5,0,0.5,0.157
1962-63,25,CIN,NBA,PF,12,381,11.5,0.48,0.457,NA,NA,NA,6.2,NA,0.2,0.1,0.3,0.038
1965-66,28,LAL,NBA,PF,10,181,10.8,0.454,0.308,NA,NA,NA,4.9,NA,0,0.1,0.1,0.024
1966-67,29,CHI,NBA,PF,3,105,22.9,0.668,0.368,NA,NA,NA,1.5,NA,0.6,0,0.5,0.247
1967-68,30,CHI,NBA,PF,5,190,18.4,0.524,0.521,NA,NA,NA,10.1,NA,0.4,0.2,0.6,0.142
1970-71,33,MIL,NBA,PF,14,283,14.1,0.532,0.341,NA,NA,12.2,7.6,NA,0.5,0.5,1,0.162
Career,NA,,NBA,,48,1283,14.6,0.521,0.386,NA,NA,12.2,6.2,NA,2.1,0.9,2.9,0.109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CIN,NBA,,16,524,13,0.509,0.385,NA,NA,NA,5.3,NA,0.7,0.1,0.8,0.07
1 season,NA,MIL,NBA,,14,283,14.1,0.532,0.341,NA,NA,12.2,7.6,NA,0.5,0.5,1,0.162
1 season,NA,LAL,NBA,,10,181,10.8,0.454,0.308,NA,NA,NA,4.9,NA,0,0.1,0.1,0.024
2 seasons,NA,CHI,NBA,,8,295,20,0.571,0.468,NA,NA,NA,7,NA,0.9,0.2,1.1,0.179
