Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1960-61,23,CIN,NBA,PF,79,1573,13,0.468,0.41,NA,NA,NA,NA,NA,1.3,0.1,1.4,0.042
1961-62,24,CIN,NBA,PF,79,2488,13.3,0.492,0.397,NA,NA,NA,NA,NA,2.8,1.1,3.9,0.075
1962-63,25,CIN,NBA,PF,79,2488,14.4,0.493,0.356,NA,NA,NA,NA,NA,2.3,1.6,3.9,0.075
1963-64,26,TOT,NBA,SF,81,2379,14.4,0.479,0.343,NA,NA,NA,NA,NA,2.1,0.7,2.8,0.056
1963-64,26,CIN,NBA,SF,32,727,12.8,0.456,0.356,NA,NA,NA,NA,NA,0.1,0.6,0.7,0.049
1963-64,26,NYK,NBA,SF,49,1652,15.2,0.489,0.337,NA,NA,NA,NA,NA,1.9,0.1,2,0.059
1964-65,27,NYK,NBA,SF,80,2139,17.8,0.504,0.389,NA,NA,NA,7.7,NA,3.9,1.4,5.3,0.119
1965-66,28,LAL,NBA,PF,78,1847,16.4,0.542,0.383,NA,NA,NA,6.4,NA,4.3,1.6,5.8,0.151
1966-67,29,CHI,NBA,PF,80,2451,18.4,0.549,0.418,NA,NA,NA,5.3,NA,6.6,2.9,9.4,0.184
1967-68,30,CHI,NBA,PF,77,2988,18.6,0.552,0.423,NA,NA,NA,6,NA,7.7,2.9,10.6,0.17
1968-69,31,CHI,NBA,PF,79,2872,19.9,0.54,0.356,NA,NA,NA,8.8,NA,8,3.5,11.6,0.193
1969-70,32,SEA,NBA,PF,82,2549,15.2,0.545,0.318,NA,NA,NA,5.8,NA,4.4,1.5,5.9,0.111
1970-71,33,MIL,NBA,PF,80,1775,13.1,0.502,0.281,NA,NA,11.6,8.6,NA,1.7,2.1,3.7,0.101
Career,NA,,NBA,,874,25549,16.1,0.519,0.372,NA,NA,11.6,6.9,NA,44.9,19.4,64.2,0.121
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CIN,NBA,,269,7276,13.6,0.483,0.381,NA,NA,NA,NA,NA,6.5,3.4,9.9,0.065
3 seasons,NA,CHI,NBA,,236,8311,19,0.547,0.397,NA,NA,NA,6.8,NA,22.3,9.3,31.6,0.182
2 seasons,NA,NYK,NBA,,129,3791,16.7,0.497,0.366,NA,NA,NA,7.7,NA,5.8,1.5,7.3,0.093
1 season,NA,SEA,NBA,,82,2549,15.2,0.545,0.318,NA,NA,NA,5.8,NA,4.4,1.5,5.9,0.111
1 season,NA,MIL,NBA,,80,1775,13.1,0.502,0.281,NA,NA,11.6,8.6,NA,1.7,2.1,3.7,0.101
1 season,NA,LAL,NBA,,78,1847,16.4,0.542,0.383,NA,NA,NA,6.4,NA,4.3,1.6,5.8,0.151
