Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dennis Schröder,,3.7,2.9,2.6,2.5,2.2,-0.7,NA,NA,NA
Charlie Criss,88.6,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA
Tony Snell,82.9,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA
Elfrid Payton,80.9,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Billy McKinney,80.1,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA
Trenton Hassell,79.9,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Geoff Huston,79.4,3.4,3,2.6,1.8,1.7,0,-0.3,-0.4,NA
Daniel Gibson,78.9,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
Fatty Taylor,78.3,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA
Rodney Hood,77.5,6,2.7,2.6,2.6,2.2,NA,NA,NA,NA
Bob Hansen,76.9,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
