,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2013-14,20,ATL,NBA,PG,2,7,1.000,13.5,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,1.000,.000,.000,0,1.000,.000,,0,0
2014-15,21,ATL,NBA,PG,16,290,.386,10.8,.766,.400,.159,.062,.145,.234,.432,.638,.174,.111,.286,.235,.250,.007,1,.500,.118,.250,0,0
2015-16,22,ATL,NBA,PG,10,191,.452,12.6,.663,.404,.087,.029,.144,.337,.507,.619,.222,.333,.400,.343,.171,.010,1,.583,.029,.000,0,0
2016-17,23,ATL,NBA,PG,6,211,.455,13.9,.636,.309,.082,.118,.127,.364,.471,.588,.333,.462,.286,.425,.182,.027,3,.412,.050,.500,0,0
2018-19,25,OKC,NBA,PG,5,151,.455,15.9,.636,.200,.055,.182,.200,.364,.543,.364,.667,.700,.545,.300,.105,.000,0,.833,.100,.000,0,0
Career,,,NBA,,39,850,.433,12.7,.688,.351,.106,.084,.147,.313,.476,.603,.250,.429,.361,.338,.191,.012,5,.545,.069,.222,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,34,699,.429,12.3,.695,.374,.114,.069,.139,.305,.466,.622,.220,.320,.320,.345,.205,.014,5,.500,.064,.286,0,0
1 season,,OKC,NBA,,5,151,.455,15.9,.636,.200,.055,.182,.200,.364,.543,.364,.667,.700,.545,.300,.105,.000,0,.833,.100,.000,0,0
