Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dennis Schröder,,3.7,2.9,2.6,2.5,2.2,-0.7
Charlie Criss,90.5,3.7,2.8,2.5,2.2,2.1,0.1
Trenton Hassell,86.7,4,2.7,2.6,2.3,1.5,-0.1
Darrell Griffith,85.4,3.5,3.5,2.8,2.5,2.1,0.4
C.J. Watson,85.1,3.8,3.3,3.1,2.6,2.1,0.4
Tony Snell,82.9,3.4,3.2,2.4,2.4,1.6,0.4
Anthony Morrow,82.5,3.5,3,3,2.4,1.7,0.7
Jerryd Bayless,81.8,4,2.7,2.4,2,1.6,0.3
Danny Young,81.5,4.8,3,2.9,2.4,1.8,-0.1
Daniel Gibson,81.4,4.1,3.8,2.6,2.4,2,0.5
Fatty Taylor,81.4,3.7,3,2.6,2.6,1.3,1.2
