,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,KCO,NBA,,6,,,,,,4,5,,,,,,,,,15
1974-75,23,KCO,NBA,,5,,,,,,4,5,,,,,,,,,14
1975-76,24,KCK,NBA,,3,,,,,,2,2,,,,,,,,,6
1975-76,24,SSL,ABA,,7,,0,,,,4,4,,,,,,,,,16
1976-77,25,SAS,NBA,,1,2,,,,,1,2,,,2,2,,,,,2
Career,,,TOT,,7,,,,,,4,5,,,,,,,,,16
,,,NBA,,6,,,,,,4,5,,,,,,,,,15
,,,ABA,,7,,0,,,,4,4,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,"KCK,KCO",NBA,,6,,,,,,4,5,,,,,,,,,15
1 Season,,SSL,ABA,,7,,0,,,,4,4,,,,,,,,,16
1 Season,,SAS,NBA,,1,2,,,,,1,2,,,2,2,,,,,2
