Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike D'Antoni,,1,0.8,0.3,0,NA,NA
Salim Stoudamire,89.6,1.2,0.8,0.3,NA,NA,NA
Phil Rollins,86.7,1.1,0.7,0.1,NA,NA,NA
Litterial Green,79.2,0.8,0.8,0.1,0,-0.1,NA
Bryan Warrick,79.0,1,0.5,0.1,0,NA,NA
Brooks Thompson,77.4,1.1,0.6,0.2,0.1,NA,NA
Tony Bennett,76.1,0.9,0.7,0,NA,NA,NA
Jimmer Fredette,75.1,1.1,0.8,0.3,0.2,0,-0.2
Kris Dunn,75.0,0.9,0.6,0.1,NA,NA,NA
Nick Jones,74.5,1.3,0.7,0.2,0,-0.2,NA
Vonteego Cummings,74.2,1.3,0.6,0.2,NA,NA,NA
