Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mike D'Antoni,,1,0.8,0.3,0
Salim Stoudamire,89.6,1.2,0.8,0.3,NA
Phil Rollins,86.7,1.1,0.7,0.1,NA
Jimmer Fredette,84.0,1.1,0.8,0.3,0.2
Earl Boykins,82.6,1,0.8,0.3,-0.3
Litterial Green,81.2,0.8,0.8,0.1,-0.1
Bryan Warrick,79.0,1,0.5,0.1,0
Mitchell Butler,77.5,1.1,0.6,0.3,-0.2
Brooks Thompson,77.4,1.1,0.6,0.2,0.1
Tony Bennett,76.1,0.9,0.7,0,NA
Nick Jones,76.1,1.3,0.7,0.2,-0.2
