Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Pep Saul,,4.2,2.8,1.5,0.8,0.6,NA,NA
Reggie Bullock,87.9,4.2,3.1,1.2,1,0.2,0.1,NA
Al Smith,87.7,4.5,3.3,1.8,0.9,0.6,NA,NA
Eddie Robinson,86.0,4,3,2.2,0.8,0.2,NA,NA
Rick Mount,85.2,4.6,3.5,1.1,0.7,0.6,NA,NA
Roger Phegley,84.9,3.7,2.6,1.6,0.8,0,-0.1,NA
Johnny Neumann,84.4,4.6,2,1.6,0.8,0.6,0,-0.1
Ron Lee,84.1,3.8,2.8,1.6,1.4,0.8,0.3,NA
Kelenna Azubuike,83.6,4.1,3.4,1.2,0.7,-0.1,NA,NA
Brandon Knight,83.4,4.5,2.8,1.7,1.3,1.1,0.3,0
Eddie Jordan,82.5,4.1,2.4,1.9,0.7,0.6,-0.1,-0.8
